,text,favourite_count,retweet_count,created_at
35,"If the ball goes to the gallery, it will not come back due to extra protection for Covid-19. Have Australia really come to play cricket? Looks like they're from another planet. This is so absurb behavior.!  #BANvAUS",13,0,2021-08-02 23:59:54
36,"https://t.co/fWsx6T2fvv This couldn't have happened to a nicer, more compassionate, more honest and more God-fearing Senator! I guess we will find out if God is on his side.",0,0,2021-08-02 23:59:53
37,RT @AmericaDialogue: Hundreds of people have staged a protest in North Carolina over Atrium Health's recent announcement that all employees…,0,25,2021-08-02 23:59:53
38,"THE HIDDEN DANGERS OF LOCKDOWNS

There have mainly been several reports of increased rodent activity during the pandemic as pests adapt to decreased public activity and search for new food sources.

p: 1800 819 189

w: https://t.co/5LZvJQwfRX

#pestcontrol #pestcontrolblog #ratc",0,0,2021-08-02 23:59:53
39,RT @tomaskenn: This is insane. While hospitals in Orlando are overwhelmed with people hospitalized due to Covid-19 and Florida still leadin…,0,157,2021-08-02 23:59:53
40,"RT @JeremeBender: We have a delta variant of covid 19 so let's just keep the boarders open for all the variants of covid 19 can get in!!

W…",0,43,2021-08-02 23:59:53
41,"RT @TheInsiderPaper: ALERT - Top editor at the New York Times instructed Times staffers not to investigate the origins of COVID-19, two Tim…",0,569,2021-08-02 23:59:53
42,"RT @NewsHour: Lindsey Graham becomes the first senator to disclose a breakthrough infection after being vaccinated against COVID-19, saying…",0,20,2021-08-02 23:59:53
43,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:53
44,"RT @ron_begone: Ron DeSantis is actively concealing COVID-19 data from the public. 

It’s time to fire Ron. #RonBeGone",0,403,2021-08-02 23:59:52
45,"RT @mmpadellan: BREAKING: Senator Lindsey Graham has tested positive for COVID-19.

Still testing negative for spine, tho.",0,6425,2021-08-02 23:59:52
46,"RT @CanNews24: U of T to require COVID-19 vaccines for ""high risk"" extracurriculars https://t.co/WbuQyqaQ25",0,1,2021-08-02 23:59:51
47,RT @benitakolovos: Premier Daniel Andrews on rapid COVID-19 testing: “I won’t be taking advice from people on the front steps of parliament…,0,278,2021-08-02 23:59:51
48,"RT @tomaskenn: It's wild that while Florida is leading nationwide in Covid-19 cases, hospitalizations, and deaths, Ron Desantis threatens t…",0,217,2021-08-02 23:59:51
49,"RT @SenDuckworth: COVID-19 is not a hoax.

It’s not political.

The Delta variant is real, deadly and spreading like wildfire.

Get vaccina…",0,1106,2021-08-02 23:59:50
50,"RT @AaronParnas: While Ron DeSantis has gone silent, @NikkiFried is giving daily briefings on COVID-19 and the status of the pandemic in Fl…",0,2417,2021-08-02 23:59:50
51,RT @ChuckCallesto: BREAKING REPORT:  74% of Covid-19 Cases in “Cape Cod Cluster Outbreak” Were Fully Vaccinated...,0,2700,2021-08-02 23:59:50
52,RT @Annakhait: The world has been lied to about covid-19.,0,1673,2021-08-02 23:59:50
53,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:50
54,RT @RepLeeZeldin: The evidence continues to mount that COVID-19 came from the Wuhan Lab. The Chinese Communist Party has MUCH to pay for &amp;…,0,125,2021-08-02 23:59:50
55,RT @ThePocketReport: BREAKING: Senator Lindsey Graham (5’7”) has tested positive for Covid-19,0,2051,2021-08-02 23:59:49
56,"#LGBTQ #COVID19 #VaccinesWork #January6th 
Just whose side is the Family Research Council on with regards to COVID-19 and the Jan 6th insurrection because it's damn sure not  America's side. https://t.co/9gzWaiwJ3y",1,3,2021-08-02 23:59:49
57,RT @nataliegwinters: BOMBSHELL: Former National Intelligence Director Says ‘Every Piece Of Evidence’ Proves COVID-19 Leaked From Wuhan Lab.…,0,475,2021-08-02 23:59:49
58,"RT @SenatorCardin: It’s National Immunization Awareness Month, and there’s no better way to celebrate than getting vaccinated against COVID…",0,44,2021-08-02 23:59:49
59,"date,[10] but it was delayed again, for undisclosed reasons.[11] Crahan noted that there are still plans for it to be released during the latter half of the We Are Not Your Kind touring cycle,[12] though the COVID-19 pandemic forced the band to cancel much of their 2020 touring",0,0,2021-08-02 23:59:49
60,"RT @ECISDtweets: COVID-19 vaccination clinic provided by Army National Guard on Tuesday, Aug. 10, 3-6 p.m. in the Cafeteria at Oak Crest El…",0,4,2021-08-02 23:59:49
61,"RT @josh_tep: Hey, everyone.  As you may know, my dad recently passed away from COVID-19 related complications.  I’ve lowered the reserve o…",0,155,2021-08-02 23:59:49
62,RT @tomaskenn: This is insane. While hospitals in Orlando are overwhelmed with people hospitalized due to Covid-19 and Florida still leadin…,0,157,2021-08-02 23:59:49
63,RT @unionsaustralia: It's not the CEOs or billionaires that are getting us through the pandemic. It's essential workers who work everyday t…,0,38,2021-08-02 23:59:48
64,"RT @CNNPolitics: Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the ""mark of the beast"" https://t.co/1RO8O4PyBA",0,390,2021-08-02 23:59:48
65,RT @tomaskenn: This is insane. While hospitals in Orlando are overwhelmed with people hospitalized due to Covid-19 and Florida still leadin…,0,157,2021-08-02 23:59:48
66,"RT @AnaCabrera: NEW: Kaiser Permanente, one of the nation’s largest health care providers, will require all of its physicians and employees…",0,3885,2021-08-02 23:59:48
67,RT @thehill: JUST IN: Appeals court sides with Indiana University over requirement that all students be vaccinated against COVID-19 or wear…,0,78,2021-08-02 23:59:48
68,"RT @EricHaftelLive: Four days ago, Senator Lindsey Graham mocked House Democrats for wearing masks.

Today, Senator Lindsey Graham has test…",0,371,2021-08-02 23:59:47
69,"RT @JoeNBC: “I don’t think I’ve ever seen anything that’s been so controversial as this vaccine, and it’s so puzzling to me, because the va…",0,245,2021-08-02 23:59:47
70,"RT @KFILE: CNN KFile: The top RNC official in Florida, amid surging cases in the state, has spread COVID-19 conspiracies that COVID-19 vacc…",0,121,2021-08-02 23:59:47
